"","Sample","Treatment","Genus","Mean"
"1","C3","Control"," Bacillus",1
"2","C6","Control"," Bacillus",1
"3","C2","Control"," Bacillus",0.999910209212535
"4","C4","Control"," Bacillus",0.999910209212535
"5","C1","Control"," Bacillus",0.99982041842507
"6","N8","Nutrient addition"," Bacillus",0.99982041842507
"7","C7","Control"," Bacillus",0.999730627637604
"8","C8","Control"," Bacillus",0.999730627637604
"9","C5","Control"," Bacillus",0.999640836850139
"10","N7","Nutrient addition"," Bacillus",0.999461255275209
"11","N2","Nutrient addition"," Bacillus",0.995420669839274
"12","N3","Nutrient addition"," Bacillus",0.995420669839274
"13","D2","Water withholding"," Bacillus",0.994702343539553
"14","D1","Water withholding"," Bacillus",0.994432971177157
"15","N1","Nutrient addition"," Bacillus",0.993175900152644
"16","D5","Water withholding"," Bacillus",0.924216575379366
"17","D4","Water withholding"," Bacillus",0.915506868995241
"18","D3","Water withholding"," Bacillus",0.907964442848164
"19","N5","Nutrient addition"," Bacillus",0.705306635539194
"20","N6","Nutrient addition"," Bacillus",0.696956092304929
"21","D8","Water withholding"," Bacillus",0.680973332136123
"22","D7","Water withholding"," Bacillus",0.67298195205172
"23","D6","Water withholding"," Bacillus",0.665529316692107
"24","N4","Nutrient addition"," Bacillus",0.664002873305199
"25","D6","Water withholding"," Virgibacillus",0.326299721648559
"26","D7","Water withholding"," Virgibacillus",0.319655203376134
"27","D8","Water withholding"," Virgibacillus",0.311214869354404
"28","N4","Nutrient addition"," Virgibacillus",0.193409356200054
"29","N5","Nutrient addition"," Virgibacillus",0.190715632576098
"30","N6","Nutrient addition"," Virgibacillus",0.180299901230134
"31","N4","Nutrient addition"," Pseudomonas",0.134327018047948
"32","N6","Nutrient addition"," Pseudomonas",0.112687438268834
"33","N5","Nutrient addition"," Pseudomonas",0.0950884439256532
"34","D3","Water withholding"," Virgibacillus",0.0861991559665978
"35","D4","Water withholding"," Virgibacillus",0.077579240369938
"36","D5","Water withholding"," Virgibacillus",0.0659064379994613
"37","D5","Water withholding","Other (mean relative abundance < 1%)",0.0088892879590554
"38","N1","Nutrient addition","Other (mean relative abundance < 1%)",0.0059261919727036
"39","D6","Water withholding","Other (mean relative abundance < 1%)",0.00520786567298195
"40","D4","Water withholding","Other (mean relative abundance < 1%)",0.00502828409805154
"41","D1","Water withholding","Other (mean relative abundance < 1%)",0.00475891173565592
"42","D7","Water withholding","Other (mean relative abundance < 1%)",0.00475891173565592
"43","N6","Nutrient addition","Other (mean relative abundance < 1%)",0.00466912094819072
"44","D8","Water withholding","Other (mean relative abundance < 1%)",0.0044895393732603
"45","D3","Water withholding","Other (mean relative abundance < 1%)",0.00422016701086469
"46","N3","Nutrient addition","Other (mean relative abundance < 1%)",0.00413037622339948
"47","N5","Nutrient addition","Other (mean relative abundance < 1%)",0.00413037622339948
"48","D2","Water withholding","Other (mean relative abundance < 1%)",0.00404058543593427
"49","N2","Nutrient addition","Other (mean relative abundance < 1%)",0.00377121307353866
"50","N4","Nutrient addition","Other (mean relative abundance < 1%)",0.00269372362395618
"51","D6","Water withholding","Other (mean relative abundance < 1%)",0.00197539732423453
"52","D8","Water withholding","Other (mean relative abundance < 1%)",0.00197539732423453
"53","N4","Nutrient addition","Other (mean relative abundance < 1%)",0.00188560653676933
"54","N6","Nutrient addition","Other (mean relative abundance < 1%)",0.00188560653676933
"55","D4","Water withholding","Other (mean relative abundance < 1%)",0.00179581574930412
"56","N5","Nutrient addition","Other (mean relative abundance < 1%)",0.00179581574930412
"57","N4","Nutrient addition","Other (mean relative abundance < 1%)",0.00170602496183892
"58","N6","Nutrient addition","Other (mean relative abundance < 1%)",0.00161623417437371
"59","D3","Water withholding","Other (mean relative abundance < 1%)",0.00134686181197809
"60","D2","Water withholding","Other (mean relative abundance < 1%)",0.00125707102451289
"61","D7","Water withholding","Other (mean relative abundance < 1%)",0.00107748944958247
"62","D7","Water withholding","Other (mean relative abundance < 1%)",0.000987698662117267
"63","N4","Nutrient addition","Other (mean relative abundance < 1%)",0.000987698662117267
"64","N5","Nutrient addition","Other (mean relative abundance < 1%)",0.000987698662117267
"65","D5","Water withholding","Other (mean relative abundance < 1%)",0.000897907874652061
"66","N5","Nutrient addition","Other (mean relative abundance < 1%)",0.000897907874652061
"67","D8","Water withholding","Other (mean relative abundance < 1%)",0.000808117087186855
"68","N2","Nutrient addition","Other (mean relative abundance < 1%)",0.000718326299721649
"69","D6","Water withholding","Other (mean relative abundance < 1%)",0.000628535512256443
"70","N1","Nutrient addition","Other (mean relative abundance < 1%)",0.000628535512256443
"71","N5","Nutrient addition","Other (mean relative abundance < 1%)",0.000628535512256443
"72","N6","Nutrient addition","Other (mean relative abundance < 1%)",0.000628535512256443
"73","N6","Nutrient addition","Other (mean relative abundance < 1%)",0.000628535512256443
"74","D1","Water withholding","Other (mean relative abundance < 1%)",0.000538744724791236
"75","D7","Water withholding","Other (mean relative abundance < 1%)",0.00044895393732603
"76","N4","Nutrient addition","Other (mean relative abundance < 1%)",0.00044895393732603
"77","N3","Nutrient addition","Other (mean relative abundance < 1%)",0.000359163149860824
"78","N4","Nutrient addition","Other (mean relative abundance < 1%)",0.000359163149860824
"79","N7","Nutrient addition","Other (mean relative abundance < 1%)",0.000359163149860824
"80","C7","Control","Other (mean relative abundance < 1%)",0.000269372362395618
"81","C8","Control","Other (mean relative abundance < 1%)",0.000269372362395618
"82","N6","Nutrient addition","Other (mean relative abundance < 1%)",0.000269372362395618
"83","C5","Control","Other (mean relative abundance < 1%)",0.000179581574930412
"84","D3","Water withholding","Other (mean relative abundance < 1%)",0.000179581574930412
"85","D6","Water withholding","Other (mean relative abundance < 1%)",0.000179581574930412
"86","D6","Water withholding","Other (mean relative abundance < 1%)",0.000179581574930412
"87","D8","Water withholding","Other (mean relative abundance < 1%)",0.000179581574930412
"88","D8","Water withholding","Other (mean relative abundance < 1%)",0.000179581574930412
"89","N1","Nutrient addition","Other (mean relative abundance < 1%)",0.000179581574930412
"90","N5","Nutrient addition","Other (mean relative abundance < 1%)",0.000179581574930412
"91","N6","Nutrient addition","Other (mean relative abundance < 1%)",0.000179581574930412
"92","N6","Nutrient addition","Other (mean relative abundance < 1%)",0.000179581574930412
"93","C1","Control","Other (mean relative abundance < 1%)",8.97907874652061e-05
"94","C1","Control","Other (mean relative abundance < 1%)",8.97907874652061e-05
"95","C2","Control","Other (mean relative abundance < 1%)",8.97907874652061e-05
"96","C4","Control","Other (mean relative abundance < 1%)",8.97907874652061e-05
"97","C5","Control","Other (mean relative abundance < 1%)",8.97907874652061e-05
"98","C5","Control","Other (mean relative abundance < 1%)",8.97907874652061e-05
"99","D1","Water withholding","Other (mean relative abundance < 1%)",8.97907874652061e-05
"100","D1","Water withholding","Other (mean relative abundance < 1%)",8.97907874652061e-05
"101","D1","Water withholding","Other (mean relative abundance < 1%)",8.97907874652061e-05
"102","D3","Water withholding","Other (mean relative abundance < 1%)",8.97907874652061e-05
"103","D4","Water withholding","Other (mean relative abundance < 1%)",8.97907874652061e-05
"104","D5","Water withholding","Other (mean relative abundance < 1%)",8.97907874652061e-05
"105","D7","Water withholding","Other (mean relative abundance < 1%)",8.97907874652061e-05
"106","D8","Water withholding","Other (mean relative abundance < 1%)",8.97907874652061e-05
"107","D8","Water withholding","Other (mean relative abundance < 1%)",8.97907874652061e-05
"108","N1","Nutrient addition","Other (mean relative abundance < 1%)",8.97907874652061e-05
"109","N2","Nutrient addition","Other (mean relative abundance < 1%)",8.97907874652061e-05
"110","N3","Nutrient addition","Other (mean relative abundance < 1%)",8.97907874652061e-05
"111","N4","Nutrient addition","Other (mean relative abundance < 1%)",8.97907874652061e-05
"112","N4","Nutrient addition","Other (mean relative abundance < 1%)",8.97907874652061e-05
"113","N5","Nutrient addition","Other (mean relative abundance < 1%)",8.97907874652061e-05
